number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
870,4,4,2,4,0.018568635,10.0,101,0.7987425327301025,10.0,333,0.0165591955184936,10.0,94,0.0163382053375244,11,73,0.002649617,22,0,0.001399612,,0.077760839,,0.007930493,11.0,0.010601664,11.0,0.014169025,11.0,0.014920378,11.0,0.0565452575683593,100,521,1.389628291130066,,10000
871,4,4,2,4,0.005476642,10.0,37,0.078678846,10.0,37,0.006799936,10.0,46,0.009560084,11,46,0.003515935,19,0,0.002211475,,0.006200838,7.0,0.005998874,6.0,0.008013892,6.0,0.006066537,6.0,0.005590367,6.0,0.0577032566070556,59,284,1.4853404760360718,,10000
872,4,4,2,4,0.005913973,9.0,39,0.072519779,9.0,39,0.065362358,9.0,363,0.042293167,10,198,0.003407836,16,0,0.001314735,,0.074192977,,0.007890511,,0.009356213,12.0,0.001526713,,0.011940718,12.0,0.0364570617675781,74,358,1.4236679077148438,,10000
873,4,4,2,4,0.007311225,9.0,40,0.077351809,9.0,40,0.0156202554702758,9.0,97,0.0202552318572998,10,104,0.002927756,21,0,0.001212072,,0.119874644,,0.010741878,10.0,0.010743856,10.0,0.004341602,,0.012612486,12.0,0.0410699844360351,79,391,1.5647014379501345,,10000
874,4,4,2,4,0.03413291,9.0,200,0.1477718353271484,9.0,75,0.072283196,9.0,424,0.0227638483047485,10,105,0.002612424,12,0,0.001600027,,0.087216377,,0.007721972,11.0,0.010512304,11.0,0.001216197,,0.012899756,12.0,0.0322170257568359,54,248,1.3017289638519287,,10000
875,4,4,2,4,0.004398537,6.0,33,0.088949919,6.0,44,0.005231333,6.0,38,0.006714892,6,38,0.001651263,9,0,0.001410484,,0.083991051,,0.005319715,9.0,0.006636143,9.0,0.005817103,,0.01024754,11.0,0.0152280330657958,27,117,1.388480305671692,,10000
876,4,4,2,4,0.005660129,9.0,33,0.072477579,9.0,33,0.029781174659729,9.0,176,0.014379596710205,9,71,0.002742481,22,0,0.001113796,,0.062203288,,0.007114792,9.0,0.00740881,9.0,0.009464741,10.0,0.007649183,10.0,0.0392303466796875,76,370,1.6024378538131714,,10000
877,4,4,2,4,0.00615716,10.0,41,0.078989267,10.0,41,0.9918554782867433,10.0,5069,0.077063489,11,312,0.002456188,14,0,0.002692986,,0.091139746,,0.006736803,8.0,0.006415462,8.0,0.009436536,8.0,0.007716537,8.0,0.0337216854095459,68,324,1.5533751249313354,,10000
878,4,4,2,4,0.008515906,11.0,43,0.094515324,11.0,43,1.629919600486755,11.0,8434,0.108122706413269,12,427,0.003673768,19,0,0.002816582,,0.064558744,,0.004991961,,0.008316326,11.0,0.009695125,10.0,0.009854841,10.0,0.0273807048797607,47,216,1.5095850229263306,,10000
879,4,4,2,4,0.0523220062255859,6.0,314,0.525984526,6.0,237,0.005622172,6.0,36,0.006589556,7,36,0.002015781,9,0,0.00270071,,0.084158826,,0.005908275,,0.008775854,10.0,0.008191013,10.0,0.008255291,10.0,0.0598218441009521,57,270,1.692813277244568,,10000
